"reply","rank","date"
"
													
													
													
													
													
													
														
															
															
																영화내내 가족에게 잘해야겠다 생각이 들었다.우리 아버지는 날위해 모든것을바치신사람이다. 효도해야겠다. 
															
														
														
													
												","10",2014-12-17
"
													
													
													
													
													
													
														
															
															
																이분들이 있었기에 지금의 내가있고 대한민국이 있는거지. 존경스럽다 
															
														
														
													
												","10",2014-12-17
"
													
													
													
													
													
													
														
															
																
																	
																		광부, 간호원 여러분! 나라가 부족하고 내가 부족해 여러분이 여기 있습니다 가족과 고향 생각에 괴로움이 많은 줄 알지만 우리가 무엇 때문에 이 먼 이국에 왔는가를 생각해봅시다 비록 우리 생전엔 이룩하지 못하더라도 후...
																	
																
															
															
														
														
													
												","10",2014-12-17
"
													
													
													
													
													
													
														
															
																
																	
																		추운날 한파를 뚫고 시사회로 보고왔으나 돈을 주어도 아깝지 않은 소중한 시간을 선물 받았다.처음은 전쟁의 아픔 , 중간은 부모님의 자식들을 위한 희생적인 삶을 생각하게 되었고 마지막은 나 자신에 대해 돌아보게 되었다...
																	
																
															
															
														
														
													
												","10",2014-12-17
"
													관람객
													
													
													
													
													
														
															
															
																20대초반 젊은이로 우리가 겪지못했던 우리한아버지들의삶을 보여주는 영화..그들이 있기에 지금 우리가 편안히 살수있습니다감동적입니다 
															
														
														
													
												","8",2014-12-17
"
													관람객
													
													
													
													
													
														
															
															
																아 눈물범벅. 고생하신 아버지 생각나네요 ㅠㅠ 
															
														
														
													
												","10",2014-12-17
"
													
													
													
													
													
													
														
															
															
																내일을 조국과 민족을 위하여. 
															
														
														
													
												","10",2014-12-17
"
													관람객
													
													
													
													
													
														
															
															
																조조로 보고 왔습니다. 시작하고 계속 눈물 닦다가 웃다가 했습니다. 근래에 본 한국영화 중 최고였습니다 
															
														
														
													
												","10",2014-12-17
"
													
													
													
													
													
													
														
															
																
																	
																		시사회때 봤는데 단연코 수작임. 2014년 대표영화로 손꼽을만함.근데 방금개봉했는데 오유강간충들이 좌표찍고1점테러하자하는중 ㅋㅋㅋ 명색이 평론가라고 5~6점주는거보소ㅋㅋㅋ평론가들 전부 한겨레 씨네21이라그런가 ㅋㅋㅋ...
																	
																
															
															
														
														
													
												","10",2014-12-17
"
													관람객
													
													
													
													
													
														
															
															
																황정민이캐릭터잘살렷고웃기면서 재밋엇어요 
															
														
														
													
												","10",2014-12-17
